开仓时间,平仓时间,开仓价格,平仓价格,成交数量,净利润,收益率,持仓K线数,方向,离场原因,出场方式
2025-10-03 22:30:00,2025-10-03 23:00:00,189.2,189.305,52,5.460000000000946,0.0005549682875265232,3,做多,信号平仓,正常方式
2025-10-03 23:15:00,2025-10-03 23:30:00,189.474,188.975,52,-25.94799999999975,-0.00263360672176655,2,做多,信号平仓,正常方式
2025-10-03 23:30:00,2025-10-03 23:45:00,188.975,189.008,52,-1.716000000000804,-0.00017462627331665812,2,做空,信号平仓,正常方式
2025-10-04 00:30:00,2025-10-04 02:00:00,187.645,186.835,53,42.93000000000012,0.004316661781555609,7,做空,信号平仓,正常方式
2025-10-06 21:30:00,2025-10-06 22:15:00,186.33,185.5,53,43.99000000000066,0.00445446251274627,4,做空,信号平仓,正常方式
2025-10-07 01:30:00,2025-10-07 22:00:00,185.62,188.465,54,-153.62999999999994,-0.015327012175412127,13,做空,信号平仓,正常方式
2025-10-07 23:00:00,2025-10-07 23:15:00,185.97,185.24,53,38.68999999999946,0.003925364306070817,2,做空,信号平仓,正常方式
2025-10-08 03:45:00,2025-10-08 21:45:00,185.04,188.65,53,-191.33000000000072,-0.01950929528750548,3,做空,信号平仓,正常方式
2025-10-09 01:30:00,2025-10-09 01:45:00,188.62,188.591,51,-1.4789999999998145,-0.00015374827695894581,2,做多,信号平仓,正常方式
2025-10-09 02:00:00,2025-10-09 02:15:00,188.735,188.422,51,-15.963000000000847,-0.0016584099398628583,2,做多,信号平仓,正常方式
2025-10-09 03:00:00,2025-10-09 03:15:00,188.61,188.59,51,-1.0200000000005218,-0.00010603891628232984,2,做多,信号平仓,正常方式
2025-10-09 03:45:00,2025-10-09 21:30:00,189.11,192.495,51,172.63499999999954,0.01789963513299133,2,做多,信号平仓,正常方式
2025-10-09 21:45:00,2025-10-09 22:15:00,194.39,193.684,50,35.29999999999944,0.0036318740675960123,3,做空,信号平仓,正常方式
2025-10-09 22:45:00,2025-10-09 23:00:00,194.075,194.274,51,10.149000000000626,0.0010253767873245514,2,做多,信号平仓,正常方式
2025-10-10 02:15:00,2025-10-10 02:30:00,192.545,192.52,51,1.2749999999988404,0.00012983977771418247,2,做空,信号平仓,正常方式
2025-10-10 23:15:00,2025-10-10 23:30:00,188.832,189.71,52,-45.656000000000745,-0.00464963565497381,2,做空,信号平仓,正常方式
2025-10-13 21:30:00,2025-10-13 21:45:00,188.524,189.605,52,56.21199999999942,0.0057340179499691755,2,做多,信号平仓,正常方式
2025-10-13 22:45:00,2025-10-13 23:00:00,186.26,187.682,53,-75.36599999999984,-0.007634489423386649,2,做空,信号平仓,正常方式
2025-10-14 02:00:00,2025-10-14 03:45:00,187.786,188.32,52,-27.767999999999574,-0.0028436624668505203,8,做空,信号平仓,正常方式
2025-10-14 21:30:00,2025-10-14 21:45:00,180.375,181.155,54,-42.12000000000006,-0.0043243243243243305,2,做空,信号平仓,正常方式
2025-10-15 00:30:00,2025-10-15 00:45:00,184.125,183.16,53,-51.14500000000018,-0.0052410047522064,2,做多,信号平仓,正常方式
