开仓时间,平仓时间,开仓价格,平仓价格,成交数量,净利润,收益率,持仓K线数,方向,离场原因,出场方式
2025-01-14 22:30:00,2025-01-15 00:30:00,28.75,27.4,347,-468.4500000000005,-0.04695652173913049,9,做多,信号平仓,正常方式
2025-01-15 22:30:00,2025-01-17 04:45:00,29.983,29.99,317,2.2189999999993333,0.0002334656305238934,52,做多,信号平仓,正常方式
2025-01-17 22:30:00,2025-01-23 22:30:00,31.87,33.48,299,481.3899999999988,0.050517728271101216,79,做多,信号平仓,正常方式
2025-01-24 04:45:00,2025-01-24 22:30:00,34.92,33.798,286,-320.89199999999994,-0.03213058419243985,2,做多,信号平仓,正常方式
2025-01-29 03:30:00,2025-01-31 04:30:00,25.55,26.73,379,447.2199999999999,0.04618395303326809,57,做多,信号平仓,正常方式
2025-01-31 22:45:00,2025-02-01 02:30:00,28.17,28.045,360,-45.0,-0.004437344692935747,16,做多,信号平仓,正常方式
2025-02-05 00:30:00,2025-02-06 22:30:00,26.495,27.14,381,245.74499999999983,0.024344215889790508,45,做多,信号平仓,正常方式
2025-02-07 04:45:00,2025-02-07 23:00:00,27.69,26.619,373,-399.4830000000006,-0.03867822318526549,4,做多,信号平仓,正常方式
2025-02-10 22:30:00,2025-02-12 22:30:00,27.43,26.915,362,-186.4300000000002,-0.018775063798760504,53,做多,信号平仓,正常方式
2025-02-13 04:45:00,2025-02-20 23:45:00,27.54,30.765,354,1141.6500000000005,0.11710239651416128,111,做多,信号平仓,正常方式
2025-02-26 22:30:00,2025-02-27 02:45:00,26.125,25.709,417,-173.47200000000015,-0.01592344497607657,18,做多,信号平仓,正常方式
2025-03-03 23:15:00,2025-03-04 03:45:00,23.095,21.04,464,-953.5199999999999,-0.08898029876596665,19,做多,信号平仓,正常方式
2025-03-05 02:00:00,2025-03-05 04:45:00,21.22,20.65,460,-262.20000000000016,-0.026861451460885977,12,做多,信号平仓,正常方式
2025-03-06 03:00:00,2025-03-06 22:30:00,21.895,19.86,434,-883.19,-0.0929435944279516,9,做多,信号平仓,正常方式
2025-03-08 02:45:00,2025-03-10 21:45:00,20.35,19.345,423,-425.1150000000011,-0.04938574938574951,11,做多,信号平仓,正常方式
2025-03-12 02:30:00,2025-03-14 01:30:00,18.21,17.617,450,-266.84999999999997,-0.03256452498627128,49,做多,信号平仓,正常方式
2025-03-14 21:30:00,2025-03-18 21:30:00,19.4,20.0,408,244.80000000000058,0.030927835051546466,53,做多,信号平仓,正常方式
2025-03-20 02:30:00,2025-03-20 21:30:00,20.592,19.835,397,-300.52899999999914,-0.03676184926184916,7,做多,信号平仓,正常方式
2025-03-24 21:30:00,2025-03-25 21:45:00,20.78,20.64,379,-53.060000000000215,-0.006737247353224281,28,做多,信号平仓,正常方式
2025-04-01 03:45:00,2025-04-03 02:15:00,15.95,15.87,490,-39.20000000000003,-0.005015673981191226,47,做多,信号平仓,正常方式
2025-04-07 22:00:00,2025-04-09 01:00:00,10.201,9.23,763,-740.873,-0.09518674639741202,39,做多,信号平仓,正常方式
2025-04-10 01:15:00,2025-04-10 21:30:00,10.56,10.53,667,-20.01000000000076,-0.0028409090909091985,12,做多,信号平仓,正常方式
2025-04-12 03:00:00,2025-04-16 21:30:00,10.32,9.575,680,-506.6000000000007,-0.07218992248062026,57,做多,信号平仓,正常方式
2025-04-17 03:45:00,2025-04-21 21:30:00,9.34,8.585,697,-526.2349999999993,-0.08083511777301917,28,做多,信号平仓,正常方式
2025-04-22 03:45:00,2025-04-28 23:00:00,8.71,11.885,687,2181.2249999999995,0.36452353616532707,112,做多,信号平仓,正常方式
2025-04-29 03:45:00,2025-04-30 00:45:00,12.29,11.75,665,-359.09999999999945,-0.04393816110659066,15,做多,信号平仓,正常方式
2025-05-01 02:00:00,2025-05-05 21:30:00,11.765,13.105,664,889.7599999999999,0.1138971525711857,61,做多,信号平仓,正常方式
2025-05-07 00:00:00,2025-05-08 02:00:00,12.91,12.305,674,-407.77000000000027,-0.04686289697908601,35,做多,信号平仓,正常方式
2025-05-08 03:30:00,2025-05-15 21:30:00,13.249,18.132,626,3056.7580000000007,0.36855611744282596,133,做多,信号平仓,正常方式
2025-05-16 00:30:00,2025-05-16 03:00:00,18.705,18.298,606,-246.64200000000002,-0.021758887997861538,11,做多,信号平仓,正常方式
2025-05-21 03:45:00,2025-05-22 01:15:00,17.97,17.261,618,-438.16199999999975,-0.03945464663327766,17,做多,信号平仓,正常方式
2025-05-27 21:30:00,2025-05-28 22:45:00,16.725,17.03,637,194.28499999999983,0.01823617339312405,32,做多,信号平仓,正常方式
2025-05-29 21:30:00,2025-05-30 01:45:00,17.65,17.05,615,-368.9999999999987,-0.033994334277620275,18,做多,信号平仓,正常方式
2025-05-31 03:15:00,2025-06-05 21:45:00,16.31,19.005,643,1732.8850000000002,0.16523605150214593,83,做多,信号平仓,正常方式
2025-06-05 23:30:00,2025-06-06 02:45:00,19.933,19.09,613,-516.759,-0.042291677118346464,14,做多,信号平仓,正常方式
2025-06-06 21:30:00,2025-06-12 00:15:00,19.62,21.73,596,1257.5599999999997,0.10754332313965338,90,做多,信号平仓,正常方式
2025-06-12 22:30:00,2025-06-13 21:30:00,22.05,20.901,588,-675.6120000000005,-0.05210884353741501,23,做多,信号平仓,正常方式
2025-06-16 21:30:00,2025-06-18 01:45:00,21.04,21.573,584,311.27200000000073,0.025332699619771925,44,做多,信号平仓,正常方式
2025-06-18 22:00:00,2025-06-19 02:45:00,22.135,21.36,569,-440.9750000000012,-0.03501242376327093,20,做多,信号平仓,正常方式
2025-06-23 22:00:00,2025-06-24 00:15:00,21.875,20.84,555,-574.4250000000001,-0.04731428571428572,10,做多,信号平仓,正常方式
2025-06-24 02:00:00,2025-06-28 01:45:00,21.572,25.019,537,1851.0389999999995,0.15979046912664563,104,做多,信号平仓,正常方式
