开仓时间,平仓时间,开仓价格,平仓价格,成交数量,净利润,收益率,持仓K线数,方向,离场原因,出场方式
2025-02-05 23:30:00,2025-02-06 22:30:00,26.725,27.14,374,155.2099999999997,0.015528531337698754,23,做多,信号平仓,正常方式
2025-02-08 00:00:00,2025-02-10 22:30:00,26.31,27.43,385,-431.2000000000004,-0.04256936526035732,21,做空,信号平仓,正常方式
2025-02-10 22:30:00,2025-02-12 01:00:00,27.43,27.23,354,-70.79999999999976,-0.007291286912139968,37,做多,信号平仓,正常方式
2025-02-13 01:45:00,2025-02-14 02:30:00,27.165,27.91,355,264.47500000000036,0.027424995398490744,30,做多,信号平仓,正常方式
2025-02-20 23:45:00,2025-02-21 03:45:00,30.765,31.63,322,-278.5299999999995,-0.028116366000324997,17,做空,信号平仓,正常方式
2025-02-21 23:15:00,2025-02-25 01:30:00,30.909,28.53,311,739.8689999999993,0.0769678734349218,36,做空,信号平仓,正常方式
2025-03-01 04:00:00,2025-03-04 01:45:00,22.32,22.275,465,-20.925000000000793,-0.0020161290322581412,18,做多,信号平仓,正常方式
2025-03-05 02:00:00,2025-03-05 04:45:00,21.22,20.65,488,-278.16000000000014,-0.026861451460885973,12,做多,信号平仓,正常方式
2025-03-06 01:45:00,2025-03-06 22:30:00,21.38,19.86,471,-715.9199999999998,-0.07109448082319923,14,做多,信号平仓,正常方式
2025-03-08 02:00:00,2025-03-10 21:30:00,19.98,19.72,468,-121.68000000000073,-0.013013013013013093,13,做多,信号平仓,正常方式
2025-03-25 21:30:00,2025-03-27 03:45:00,20.807,18.79,444,895.5479999999998,0.0969385303023021,52,做空,信号平仓,正常方式
2025-04-01 02:15:00,2025-04-01 22:00:00,15.477,14.975,655,-328.81000000000046,-0.03243522646507726,10,做多,信号平仓,正常方式
2025-04-01 23:00:00,2025-04-02 02:00:00,15.87,15.28,618,-364.6199999999999,-0.03717706364209199,13,做多,信号平仓,正常方式
2025-04-02 02:00:00,2025-04-02 03:30:00,15.28,15.63,618,-216.30000000000086,-0.02290575916230376,7,做空,信号平仓,正常方式
2025-04-03 02:15:00,2025-04-05 03:30:00,15.87,9.275,581,3831.6949999999993,0.4155639571518588,58,做空,信号平仓,正常方式
2025-04-10 01:15:00,2025-04-10 21:30:00,10.56,10.53,1236,-37.080000000001405,-0.0028409090909091985,12,做多,信号平仓,正常方式
2025-04-12 00:30:00,2025-04-14 23:15:00,10.045,10.43,1296,498.9599999999997,0.03832752613240416,22,做多,信号平仓,正常方式
2025-04-15 02:30:00,2025-04-16 01:00:00,10.8,10.585,1252,-269.17999999999984,-0.019907407407407395,21,做多,信号平仓,正常方式
2025-04-16 01:15:00,2025-04-17 03:45:00,10.48,9.34,1264,1440.9600000000007,0.10877862595419852,37,做空,信号平仓,正常方式
2025-04-24 03:15:00,2025-04-24 21:30:00,10.22,11.11,1437,-1278.9299999999982,-0.08708414872798421,4,做空,信号平仓,正常方式
2025-04-28 23:00:00,2025-04-29 02:30:00,11.885,11.95,1128,-73.31999999999944,-0.005469078670593142,15,做空,信号平仓,正常方式
2025-04-29 03:00:00,2025-04-29 22:15:00,12.05,11.795,1107,-282.2850000000009,-0.021161825726141142,8,做多,信号平仓,正常方式
2025-04-30 03:45:00,2025-05-01 01:30:00,11.86,11.634,1101,248.825999999999,0.01905564924114664,18,做空,信号平仓,正常方式
2025-05-02 03:45:00,2025-05-02 22:00:00,12.1,13.265,1099,-1280.335000000001,-0.09628099173553727,4,做空,信号平仓,正常方式
2025-05-02 22:00:00,2025-05-03 01:45:00,13.265,13.347,906,74.29199999999906,0.006181681115717977,16,做多,信号平仓,正常方式
2025-05-06 02:00:00,2025-05-06 03:15:00,13.355,13.14,906,-194.78999999999988,-0.01609883938599774,6,做多,信号平仓,正常方式
2025-05-07 23:00:00,2025-05-08 00:00:00,12.49,12.722,953,-221.09599999999935,-0.018574859887910276,5,做空,信号平仓,正常方式
2025-05-08 00:45:00,2025-05-08 01:45:00,12.845,12.56,909,-259.0650000000001,-0.02218762164266252,5,做多,信号平仓,正常方式
2025-05-08 03:30:00,2025-05-09 01:45:00,13.249,13.97,862,621.5020000000001,0.054419201449165976,20,做多,信号平仓,正常方式
2025-05-10 03:00:00,2025-05-13 03:30:00,14.189,16.898,849,2299.941,0.1909225456339418,29,做多,信号平仓,正常方式
2025-05-13 03:30:00,2025-05-13 21:30:00,16.898,17.788,849,-755.6100000000005,-0.052668954905906055,3,做空,信号平仓,正常方式
2025-05-15 02:15:00,2025-05-16 00:30:00,18.61,18.705,730,-69.34999999999917,-0.005104782375067107,20,做空,信号平仓,正常方式
2025-05-16 00:30:00,2025-05-16 02:15:00,18.705,18.378,722,-236.0939999999987,-0.017481956696070475,8,做多,信号平仓,正常方式
2025-05-16 02:15:00,2025-05-17 01:15:00,18.378,18.25,722,92.41600000000008,0.006964849276308636,23,做空,信号平仓,正常方式
2025-05-21 03:45:00,2025-05-22 01:00:00,17.97,18.2,744,171.12000000000032,0.012799109627156397,16,做多,信号平仓,正常方式
2025-05-24 01:15:00,2025-05-28 03:15:00,15.875,17.235,853,1160.0799999999995,0.08566929133858264,35,做多,信号平仓,正常方式
2025-05-28 03:15:00,2025-05-28 21:30:00,17.235,17.475,853,-204.7200000000017,-0.013925152306353467,4,做空,信号平仓,正常方式
2025-05-29 03:30:00,2025-05-31 03:00:00,17.15,16.19,845,811.1999999999978,0.055976676384839504,51,做空,信号平仓,正常方式
2025-05-31 03:00:00,2025-06-04 02:00:00,16.19,17.92,946,1636.5800000000004,0.10685608400247068,49,做多,信号平仓,正常方式
2025-06-07 01:00:00,2025-06-09 21:30:00,19.38,20.205,874,-721.0499999999994,-0.04256965944272442,13,做空,信号平仓,正常方式
